person_id,judge_flag,position,status,disclosures_count,name_first,name_middle,name_last,political_affiliations,race,date_nominated,date_start,date_termination,court_short_name,court_full_name
14061,1,1,judge with 1 position,,Ronald,F.,Frank,d,w,,2015-09-02,,"California Superior Court, Los Angeles County","Superior Court of California, County of Los Angeles"
14062,1,1,judge with 1 position,,Julian,Carlo,Recana,d,a,,2015-08-01,,"California Superior Court, Los Angeles County","Superior Court of California, County of Los Angeles"
14063,1,1,judge with 1 position,,Lawrence,Paul,Riff,d,w,,2015-09-08,,"California Superior Court, Los Angeles County","Superior Court of California, County of Los Angeles"
14064,1,1,judge with 1 position,,Natalie,Pages,Stone,d,w,,2015-09-14,,"California Superior Court, Los Angeles County","Superior Court of California, County of Los Angeles"
14065,1,1,judge with 1 position,,Lisa,Kathleen,Sepe-Wiesenfeld,d,w,,2015-10-05,,"California Superior Court, Los Angeles County","Superior Court of California, County of Los Angeles"
14066,1,1,judge with 1 position,,Melissa,R.,McCormick,d,w,,2015-08-24,,"California Superior Court, Orange County","Superior Court of California, County of Orange"
14067,1,1,judge with 1 position,,Julie,Ann,Palafox,d,w,,2015-09-21,,"California Superior Court, Orange County","Superior Court of California, County of Orange"
14068,1,1,judge with 1 position,,Chad,William,Firetag,r,w,,2015-08-06,,"California Superior Court, Riverside County","Superior Court of California, County of Riverside"
14069,1,1,judge with 1 position,,Corey,G.,Lee,d,a,,2015-08-10,,"California Superior Court, San Bernardino County","Superior Court of California, County of San Bernardino"
14070,1,1,judge with 1 position,,Charles,Joe,Umeda,d,a,,2015-08-10,,"California Superior Court, San Bernardino County","Superior Court of California, County of San Bernardino"
14071,1,1,judge with 1 position,,Jeffrey,Raymond,Finigan,d,w,,2015-07-27,,"California Superior Court, San Mateo County","Superior Court of California, County of San Mateo"
14072,2,2,judge with multiple positions,,Kevin, M.,Seibert,,,,2019-01-01,2020-12-31,"California Superior Court, Tuolumne County","Superior Court of California, County of Tuolumne"
14073,2,2,judge with multiple positions,,Sonia,,Cortés,d,h,,2018-01-01,,"California Superior Court, Yolo County","Superior Court of California, County of Yolo"
14074,1,2,judge with multiple positions,,Michelle,Susan,Short-Nagel,d,w,,2018-10-12,,"California Superior Court, Los Angeles County","Superior Court of California, County of Los Angeles"
14075,1,2,judge with multiple positions,,Maria,,Puente-Porras,d,h,,2018-06-28,,"California Superior Court, Los Angeles County","Superior Court of California, County of Los Angeles"
14076,1,1,judge with 1 position,,Winston,Sy,Keh,r,a,,2017-05-26,,"California Superior Court, San Bernardino County","Superior Court of California, County of San Bernardino"
14077,1,1,judge with 1 position,,Delia,,Trevino,d,w,,2015-11-30,,"California Superior Court, Alameda County","Superior Court of California, County of Alameda"
14078,1,1,judge with 1 position,,Kimberly,Jeannine,Merrifield,d,w,,2015-12-28,,"California Superior Court, Butte County","Superior Court of California, County of Butte"
14079,1,1,judge with 1 position,,David,E.,Goldstein,d,w,,2015-12-14,,"California Superior Court, Contra Costa County","Superior Court of California, County of Contra Costa"
14080,1,1,judge with 1 position,,Mark,Eugene,Cullers,d,b,,2015-12-31,,"California Superior Court, Fresno County","Superior Court of California, County of Fresno"
14081,1,1,judge with 1 position,,Michael,G.,Idiart,d,w,,2016-01-29,,"California Superior Court, Fresno County","Superior Court of California, County of Fresno"
14082,2,2,judge with multiple positions,,Michelle,M.,Ahnn,d,a,,2018-06-05,,"California Superior Court, Los Angeles County","Superior Court of California, County of Los Angeles"
14083,1,1,judge with 1 position,,Maame,Ewusi-Mensah,Frimpong,d,b,,2016-02-11,,"California Superior Court, Los Angeles County","Superior Court of California, County of Los Angeles"
14084,1,1,judge with 1 position,,Stephen,Ira,Goorvitch,d,w,,2015-12-15,,"California Superior Court, Los Angeles County","Superior Court of California, County of Los Angeles"
14085,1,1,judge with 1 position,,Maurice,Abraham,Leiter,d,w,,2015-12-31,,"California Superior Court, Los Angeles County","Superior Court of California, County of Los Angeles"
14086,1,1,judge with 1 position,,Theresa,Mary,Traber,d,w,,2016-01-08,,"California Superior Court, Los Angeles County","Superior Court of California, County of Los Angeles"
14087,1,1,judge with 1 position,,Joshua,D.,Wayser,d,w,,2016-01-29,,"California Superior Court, Los Angeles County","Superior Court of California, County of Los Angeles"
14088,1,1,judge with 1 position,,Stephen,Paul,Freccero,d,h,,2015-12-29,,"California Superior Court, Marin County","Superior Court of California, County of Marin"
14089,1,1,judge with 1 position,,Mary,E.,Kreber Varipapa,d,h,,2015-12-18,,"California Superior Court, Orange County","Superior Court of California, County of Orange"
14090,1,1,judge with 1 position,,Kathleen,Elna,Roberts,d,w,,2015-11-30,,"California Superior Court, Orange County","Superior Court of California, County of Orange"
14091,1,1,judge with 1 position,,Kenneth,C.,Mennemeier,d,w,,2015-12-18,,"California Superior Court, Sacramento County","Superior Court of California, County of Sacramento"
14092,1,1,judge with 1 position,,James,Andrew,Mangione,d,w,,2015-12-07,,"California Superior Court, San Diego County","Superior Court of California, County of San Diego"
14093,1,1,judge with 1 position,,Raimundo,J.,Montes de Oca,d,h,,2015-12-11,,"California Superior Court, Santa Barbara County","Superior Court of California, County of Santa Barbara"
14094,1,1,judge with 1 position,,Jose,S.,Franco,d,h,,2015-12-30,,"California Superior Court, Santa Clara County","Superior Court of California, County of Santa Clara"
14095,1,1,judge with 1 position,,Nona,Louise,Klippen,d,,,2015-12-30,,"California Superior Court, Santa Clara County","Superior Court of California, County of Santa Clara"
14096,1,1,judge with 1 position,,Brian,K.,Stodghill,d,b,,2016-01-11,,"California Superior Court, San Bernardino County","Superior Court of California, County of San Bernardino"
14097,1,1,judge with 1 position,,Robert,Anthony,Fultz,d,w,,2015-12-31,,"California Superior Court, Tulare County","Superior Court of California, County of Tulare"
14098,1,1,judge with 1 position,,Tara,K.,James,d,w,,2016-01-13,,"California Superior Court, Tulare County","Superior Court of California, County of Tulare"
14099,1,1,judge with 1 position,,Francis,B. II,Bennett,d,,,2016-01-22,,"California Superior Court, Los Angeles County","Superior Court of California, County of Los Angeles"
14100,1,1,judge with 1 position,,Joel,Lamont,Lofton,d,b,,2016-01-19,,"California Superior Court, Los Angeles County","Superior Court of California, County of Los Angeles"
